"Vehicle_Num","Province","Type_Vehicle","Brand","Color"
"1กร 3185",สงขลา,รถจักรยานยนต์,Suzuki,แดง
"1กร 6876",ภูเก็ต,รถจักรยานยนต์,Honda,แดง
"1กล 8606",สงขลา,รถจักรยานยนต์,Honda,ดำ
"1กล 9320",ตรัง,รถจักรยานยนต์,Honda,ดำ
"1กว 4506",ร้อยเอ็ด,รถจักรยานยนต์,Vespa,ดำ
"1กว 6277",สงขลา,รถจักรยานยนต์,Honda,แดง
"1กส 6513",สงขลา,รถจักรยานยนต์,Honda,น้ำเงิน
"1กฬ 2443",สงขลา,รถจักรยานยนต์,Honda,ขาว
"1กฬ 4783",สงขลา,รถจักรยานยนต์,Honda,ฟ้า
"1กฬ 8904",สงขลา,รถจักรยานยนต์,Honda,ดำ
"1กฬ 9446",สงขลา,รถจักรยานยนต์,Yamaha,ดำ
"1กอ 6421",สงขลา,รถจักรยานยนต์,Vespa,เทา
"1กอ 9810",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กก 1190",สงขลา,รถจักรยานยนต์,Honda,ขาว
"2กข 8468",สุราษฎร์ธานี,รถจักรยานยนต์,Honda,ครีม
"2กค 3310",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กค 4276",สงขลา,รถจักรยานยนต์,Honda,เหลือง
"2กฆ 9044",นครศรีธรรมราช,รถจักรยานยนต์,Honda,ดำ
"2กง 4486",เชียงราย,รถจักรยานยนต์,Vespa,ดำ
"2กง 4989",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กง 5142",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กง 5538",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กจ 451",ปัตตานี,รถจักรยานยนต์,Honda,แดง
"2กจ 6780 ",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กจ 9918",สงขลา,รถจักรยานยนต์,Yamaha,ดำ
"2กฉ 5275",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กฉ 575",สุราษฎร์ธานี,รถจักรยานยนต์,Honda,น้ำเงิน
"2กช 444",สงขลา,รถจักรยานยนต์,Honda,น้ำเงิน
"2กช 5697",สงขลา,รถจักรยานยนต์,Yamaha,เทา
"2กฌ 5804",สงขลา,รถจักรยานยนต์,Honda,ขาว
"2กฌ 8494 ",สงขลา,จักรยานยนต์,Honda,น้ำเงิน
"2กญ 2556",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กญ 432",สงขลา,รถจักรยานยนต์,Honda,ขาว
"2กญ 6709",สงขลา,รถจักรยานยนต์,Yamaha,เขียว
"2กญ 896",สงขลา,รถจักรยานยนต์,Honda,เขียว
"2กญ 9422",นครศรีธรรมราช,รถจักรยานยนต์,Honda,""
"2กฎ 1091",สงขลา,รถจักรยานยนต์,Honda,ฟ้า
"2กฎ 3295",สงขลา,รถจักรยานยนต์,Honda,แดง
"2กฎ 4066",สงขลา,รถจักรยานยนต์,Honda,แดง
"2กฐ 2015",สงขลา,รถจักรยานยนต์,Honda,ขาว
"2กฐ 2774 ",สงขลา,จักรยานยนต์,Honda ,น้ำเงิน
"2กฒ 561 ",นครศรีธรรมราช,จักรยานยนต์,Honda,ดำ-เหลือง
"2กณ 4840",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กด 8420",สงขลา,รถจักรยานยนต์,Honda,เขียว
"2กต 3341",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กต 4098",สงขลา,รถจักรยานยนต์,Vespa,ขาว
"2กต 4198",สงขลา,รถจักรยานยนต์,Honda,แดง
"2กต 6527",พัทลุง,รถจักรยานยนต์,Honda,ดำ
"2กต 7618",สงขลา,รถจักรยานยนต์,Yamaha,เทา
"2กถ 465",สงขลา,รถจักรยานยนต์,Suzuki,ขาว
"2กน 6602",สงขลา,รถจักรยานยนต์,Yamaha,เทา
"2กบ 5680",สงขลา,รถจักรยานยนต์,Honda,เทา
"2กบ 7143",สงขลา,รถจักรยานยนต์,Honda,ดำ
"2กพ 2864",สงขลา,รถจักรยานยนต์,Honda,แดง
"2กพ 5499",สงขลา,รถจักรยานยนต์,Honda,น้ำเงิน
"2กพ 6910",ยะลา,รถจักรยานยนต์,Honda,แดง
"2กม 3371",สงขลา,รถจักรยานยนต์,Yamaha,ดำ
"2ทณ 7693",สงขลา,รถจักรยานยนต์,Honda,ขาว
"4975 (ป้ายแดง)",สุราษฎร์ธานี,รถจักรยานยนต์,Honda,แดง
"4990 (ป้ายแดง)",ตรัง,รถจักรยานยนต์,Honda,เทา
"4กฉ 3194",กรุงเทพมหานคร,รถยนต์,Toyota,ขาว
"4กน 3773",กรุงเทพมหานคร,รถจักรยานยนต์,Yamaha,แดง
"5ขศ 3211",กรุงเทพมหานคร,รถจักรยานยนต์,LION,ชมพู
"7089 (ป้ายแดง)",สงขลา,รถจักรยานยนต์,Honda,ดำ
"9ขพ 4500",กรุงเทพมหานคร,รถจักรยานยนต์,Honda,เทา
ก 0887 (ป้ายแดง),สงขลา,รถจักรยานยนต์,Yamaha,เทา
กก 1111,ตรัง,รถจักรยานยนต์,Suzuki,แดง
กก 8888,สุราษฎร์ธานี,รถจักรยานยนต์,Honda,ชมพู
กข 1234,ตรัง,รถจักรยานยนต์,Yamaha,ครีม
กณ1111,สงขลา,รถยนต์,Honda,ดำ
กท 6996 ,สงขลา,รถยนต์,Toyota,ขาว
กธ 3872,นครศรีธรรมราช,รถยนต์,Mazda,ฟ้า
กมท 290,พัทลุง,รถจักรยานยนต์,Honda,ดำ
กมว 756,สตูล,รถจักรยานยนต์,Honda,แดง
ขจ 7360 ,สงขลา,รถยนต์,Toyota,ดำ-เหลือง
ขธน 378,พัทลุง,รถจักรยานยนต์,Honda,แดง
ขลบ 835,ตรัง,รถจักรยานยนต์,Honda,น้ำเงิน
ขลม 664,ตรัง,รถจักรยานยนต์,Honda,ขาว
ขศจ 223,พัทลุง,รถจักรยานยนต์,Yamaha,เขียว
คขษ 83,สงขลา,รถจักรยานยนต์,Honda,ชมพู
คทค 38,สงขลา,รถจักรยานยนต์,Yamaha,ดำ
งกบ 890,สงขลา,รถจักรยานยนต์,Honda,เขียว
งขพ 686,สงขลา,รถจักรยานยนต์,Yamaha,ดำ
งค 290,สงขลา,รถยนต์,Mitsubishi,ขาว
งฉ1141  ,สงขลา,จักรยานยนต์,Honda,ขาว
งน 182,สงขลา,รถยนต์,Nissan,ดำ
ทด 678,ชุมพร,รถจักรยานยนต์,Honda,ดำ
ทท 1112,สงขลา,รถจักรยานยนต์,Honda,ฟ้า
ทส 789,ชุมพร,รถจักรยานยนต์,Honda,เขียว
บทน 581,ภูเก็ต,รถจักรยานยนต์,Honda,ขาว
บร 4154,สงขลา,รถจักรยานยนต์,Nissan,เทา
ปท 181,ตรัง,รถจักรยานยนต์,Honda,ฟ้า
วว 5050,สุราษฎร์ธานี,รถจักรยานยนต์,Yamaha,ครีม
สธ 7102,ระยอง,รถจักรยานยนต์,Yamaha,เขียว
สวย 549,กรุงเทพมหานคร,รถจักรยานยนต์,Honda,ขาว
สส 567,สงขลา,รถจักรยานยนต์,Suzuki,เทา
อร 366,กระบี่,รถจักรยานยนต์,Yamaha,ดำ
อร 369,ตรัง,รถจักรยานยนต์,Honda,ครีม
